,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,,https://api.spotify.com/v1/playlists/36QLe0OBMLKhnpkD46ny6s,36QLe0OBMLKhnpkD46ny6s,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbacc8405f1b866bfe897da66a', 'width': None}]",Barbecue Music,,,MzczLGE3MTk3NjM0Y2E2ZDcwZmI2ZWQxYWQzOTRmNDFmMzY5MDAxY2MxY2I=,playlist,spotify:playlist:36QLe0OBMLKhnpkD46ny6s,https://open.spotify.com/playlist/36QLe0OBMLKhnpkD46ny6s,Bobby Fagan,https://open.spotify.com/user/12120278879,https://api.spotify.com/v1/users/12120278879,12120278879,user,spotify:user:12120278879,https://api.spotify.com/v1/playlists/36QLe0OBMLKhnpkD46ny6s/tracks,264
1,False,,https://api.spotify.com/v1/playlists/5o31l6A7sYORBgh3vBThKR,5o31l6A7sYORBgh3vBThKR,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b273a7ad64a69a42647de9dd0dadab67616d0000b273a8b9f97b9ea065b9a857e93fab67616d0000b273f7f74100d5cc850e01172cbfab67616d0000b273fde79b88e2a659c394c5ae30', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b273a7ad64a69a42647de9dd0dadab67616d0000b273a8b9f97b9ea065b9a857e93fab67616d0000b273f7f74100d5cc850e01172cbfab67616d0000b273fde79b88e2a659c394c5ae30', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b273a7ad64a69a42647de9dd0dadab67616d0000b273a8b9f97b9ea065b9a857e93fab67616d0000b273f7f74100d5cc850e01172cbfab67616d0000b273fde79b88e2a659c394c5ae30', 'width': 60}]",Hip Hop Barbecue,,,OTUsN2E1YmU0YjkxZTE3ODc1ZmE5ZmM3OGEzNDhmNmFkNGRkYzgyMGE3Yg==,playlist,spotify:playlist:5o31l6A7sYORBgh3vBThKR,https://open.spotify.com/playlist/5o31l6A7sYORBgh3vBThKR,jjfriedm-us,https://open.spotify.com/user/jjfriedm-us,https://api.spotify.com/v1/users/jjfriedm-us,jjfriedm-us,user,spotify:user:jjfriedm-us,https://api.spotify.com/v1/playlists/5o31l6A7sYORBgh3vBThKR/tracks,80
2,False,Barbecue music picked just for you,https://api.spotify.com/v1/playlists/37i9dQZF1EIdLHeQmckp3n,37i9dQZF1EIdLHeQmckp3n,"[{'height': None, 'url': 'https://i.scdn.co/image/ab676d6300001475c94f0460f56b39d2e754a403', 'width': None}]",Barbecue music,,,MTg5MjYsMDAwMDAwMDA5MjcxMGY4YjMwZmY3MzYzNzJkNTY2ODVlNjFhNDk5Ng==,playlist,spotify:playlist:37i9dQZF1EIdLHeQmckp3n,https://open.spotify.com/playlist/37i9dQZF1EIdLHeQmckp3n,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1EIdLHeQmckp3n/tracks,50
3,False,The perfect soundtrack recipe for a backyard barbecue! ,https://api.spotify.com/v1/playlists/37i9dQZF1DXbIbVYph0Zr5,37i9dQZF1DXbIbVYph0Zr5,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000033c5a340bdd0bc167ad56f064', 'width': None}]",Country Cookout,,,MTYzNTI1MjMwNywwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DXbIbVYph0Zr5,https://open.spotify.com/playlist/37i9dQZF1DXbIbVYph0Zr5,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXbIbVYph0Zr5/tracks,120
4,False,,https://api.spotify.com/v1/playlists/2rWsPvkHvPUJA3gRx85gZn,2rWsPvkHvPUJA3gRx85gZn,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2731ba5682505dd6e2592b16e41ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273b1c4b76e23414c9f20242268ab67616d0000b273b5d4730e54f84c66c70fe60a', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2731ba5682505dd6e2592b16e41ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273b1c4b76e23414c9f20242268ab67616d0000b273b5d4730e54f84c66c70fe60a', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2731ba5682505dd6e2592b16e41ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273b1c4b76e23414c9f20242268ab67616d0000b273b5d4730e54f84c66c70fe60a', 'width': 60}]",Barbecue songs,,,MjQzLGMxYTYwMGJiMDgyNjdiNzhmYWQxMTdhOTNmYWYwYTc0YTRkYWVjYTU=,playlist,spotify:playlist:2rWsPvkHvPUJA3gRx85gZn,https://open.spotify.com/playlist/2rWsPvkHvPUJA3gRx85gZn,Marina Sanches,https://open.spotify.com/user/marina_sanches,https://api.spotify.com/v1/users/marina_sanches,marina_sanches,user,spotify:user:marina_sanches,https://api.spotify.com/v1/playlists/2rWsPvkHvPUJA3gRx85gZn/tracks,86
5,False,,https://api.spotify.com/v1/playlists/17mTy0UMHTw2gkpL80ofoo,17mTy0UMHTw2gkpL80ofoo,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb6e97ab0532daaede0ace793e', 'width': None}]",Barbecue entre amis,,,NjgsZDIwYjBiYjMwYTNhNjU3ZjA4OTRmZmQzZTk3NjA2ZjNlZDQxMTZmMA==,playlist,spotify:playlist:17mTy0UMHTw2gkpL80ofoo,https://open.spotify.com/playlist/17mTy0UMHTw2gkpL80ofoo,Digster France,https://open.spotify.com/user/digster.fr,https://api.spotify.com/v1/users/digster.fr,digster.fr,user,spotify:user:digster.fr,https://api.spotify.com/v1/playlists/17mTy0UMHTw2gkpL80ofoo/tracks,161
6,False,,https://api.spotify.com/v1/playlists/4YGicclvfHaDl9NlFkxBep,4YGicclvfHaDl9NlFkxBep,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb3b082a4273d9c8ae15a7bf38', 'width': None}]",barbecue stains on my white tshirt. darn.,,,MTI2LDNiMjY4ODY5ZjY1NDUxOGVlMjBiNWNhYjdlOWJhYzkyYTE5ZDAwMDk=,playlist,spotify:playlist:4YGicclvfHaDl9NlFkxBep,https://open.spotify.com/playlist/4YGicclvfHaDl9NlFkxBep,alicia rose,https://open.spotify.com/user/aliciatsao9000,https://api.spotify.com/v1/users/aliciatsao9000,aliciatsao9000,user,spotify:user:aliciatsao9000,https://api.spotify.com/v1/playlists/4YGicclvfHaDl9NlFkxBep/tracks,108
7,False,Sevdiklerinizle bir araya geldiğiniz muhteşem bir yemekte size eşlik edecek şarkılar bu listede!,https://api.spotify.com/v1/playlists/5tm0kVPZTc6EMjxHt4fFyR,5tm0kVPZTc6EMjxHt4fFyR,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbec9db8c8e9412d666e3f3e52', 'width': None}]",Barbecue Party,,,ODYyLGYzOTRkZTc0ZGI4MmViYzFlZDY0YjlhMjE2ZmU1ZjAyMTEzZmQzM2E=,playlist,spotify:playlist:5tm0kVPZTc6EMjxHt4fFyR,https://open.spotify.com/playlist/5tm0kVPZTc6EMjxHt4fFyR,Digster Türkiye,https://open.spotify.com/user/digstert%C3%BCrkiye,https://api.spotify.com/v1/users/digstert%C3%BCrkiye,digstertürkiye,user,spotify:user:digstert%C3%BCrkiye,https://api.spotify.com/v1/playlists/5tm0kVPZTc6EMjxHt4fFyR/tracks,50
8,False,,https://api.spotify.com/v1/playlists/2Kk7Hrs5sFC8TmIr2tsHgr,2Kk7Hrs5sFC8TmIr2tsHgr,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebba933333e24c5a196062d4ad6', 'width': None}]",Grillen | Grillparty | BBQ | Barbecue 2021,,,NzE2Miw0N2I2MzI5YjU2MTIwZTg5YjZjOWIzMDA4ZmI1MmNjMDU4Y2ZjNmY4,playlist,spotify:playlist:2Kk7Hrs5sFC8TmIr2tsHgr,https://open.spotify.com/playlist/2Kk7Hrs5sFC8TmIr2tsHgr,The Sound Of,https://open.spotify.com/user/yourfavouriteplaylists,https://api.spotify.com/v1/users/yourfavouriteplaylists,yourfavouriteplaylists,user,spotify:user:yourfavouriteplaylists,https://api.spotify.com/v1/playlists/2Kk7Hrs5sFC8TmIr2tsHgr/tracks,107
9,False,,https://api.spotify.com/v1/playlists/0pdalI6Iaklvc9DfwyeDrf,0pdalI6Iaklvc9DfwyeDrf,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2734a8f4a048bef3ade8fbddb25ab67616d0000b273674c7a81aa925a9d6071f60cab67616d0000b273b210ae955aeea30e0fa97434ab67616d0000b273e32c05c23344e590ec56a915', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2734a8f4a048bef3ade8fbddb25ab67616d0000b273674c7a81aa925a9d6071f60cab67616d0000b273b210ae955aeea30e0fa97434ab67616d0000b273e32c05c23344e590ec56a915', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2734a8f4a048bef3ade8fbddb25ab67616d0000b273674c7a81aa925a9d6071f60cab67616d0000b273b210ae955aeea30e0fa97434ab67616d0000b273e32c05c23344e590ec56a915', 'width': 60}]",Barbecue Stain on my White T-Shirt,,,MTgsZjAwMTdhMjUxMWNlNmVhYTQxYzFiY2ZkMWE0MzBlYTQ3MjhiZmUwZA==,playlist,spotify:playlist:0pdalI6Iaklvc9DfwyeDrf,https://open.spotify.com/playlist/0pdalI6Iaklvc9DfwyeDrf,Javier Servin,https://open.spotify.com/user/1216702304,https://api.spotify.com/v1/users/1216702304,1216702304,user,spotify:user:1216702304,https://api.spotify.com/v1/playlists/0pdalI6Iaklvc9DfwyeDrf/tracks,12
10,False,"finest summer vibes for Beef and Beer, to get your party started",https://api.spotify.com/v1/playlists/27NQi1GPXs9M7iCGkUSJkR,27NQi1GPXs9M7iCGkUSJkR,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbde74beec612ee4a71efad259', 'width': None}]",Barbecue Summer,,,MTAyNCxjOTQyM2YyZGFiNGEyYzNjZDQ3NzcyNjM5MThmNjAzMmQyOTBhMGI5,playlist,spotify:playlist:27NQi1GPXs9M7iCGkUSJkR,https://open.spotify.com/playlist/27NQi1GPXs9M7iCGkUSJkR,Konstantin He,https://open.spotify.com/user/konschtel,https://api.spotify.com/v1/users/konschtel,konschtel,user,spotify:user:konschtel,https://api.spotify.com/v1/playlists/27NQi1GPXs9M7iCGkUSJkR/tracks,306
