,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,,https://api.spotify.com/v1/playlists/3Gvol4IJg7DFgDHpMttaZT,3Gvol4IJg7DFgDHpMttaZT,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2730f7ad6d8d829906c17cae210ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273a5acfd33d055ca075b829cc1ab67616d0000b273f9dcc529e62f2a4675f88738', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2730f7ad6d8d829906c17cae210ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273a5acfd33d055ca075b829cc1ab67616d0000b273f9dcc529e62f2a4675f88738', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2730f7ad6d8d829906c17cae210ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273a5acfd33d055ca075b829cc1ab67616d0000b273f9dcc529e62f2a4675f88738', 'width': 60}]",DATE NIGHT ❤️,,,MjA2LGU0ODlhNmJmYTAyZmQ2N2E0OTk0OWI4ZTU2YTI5MmYwZjZhMjE2NTI=,playlist,spotify:playlist:3Gvol4IJg7DFgDHpMttaZT,https://open.spotify.com/playlist/3Gvol4IJg7DFgDHpMttaZT,Sam Vongsady,https://open.spotify.com/user/12164590728,https://api.spotify.com/v1/users/12164590728,12164590728,user,spotify:user:12164590728,https://api.spotify.com/v1/playlists/3Gvol4IJg7DFgDHpMttaZT/tracks,123
1,False,vibe-heavy jams to set the mood,https://api.spotify.com/v1/playlists/37i9dQZF1DXalDDvuKwGpK,37i9dQZF1DXalDDvuKwGpK,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000030e40a30479db336d5463610c', 'width': None}]",Date Night,,,MTYzNTI1MjMyMiwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DXalDDvuKwGpK,https://open.spotify.com/playlist/37i9dQZF1DXalDDvuKwGpK,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DXalDDvuKwGpK/tracks,80
2,False,all friday night funkin songs up to date and a few mods... all songs are in order :),https://api.spotify.com/v1/playlists/1SE3mE9wwSgxyvI6ohVti7,1SE3mE9wwSgxyvI6ohVti7,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbad799745f3825453011c9c8f', 'width': None}]",FNF and mods,,,NjAsZjZjMGYwNGEwOTc0MThiMTQzNWNkMWQzN2VkNzFhMzBkY2Q0NTY2Mw==,playlist,spotify:playlist:1SE3mE9wwSgxyvI6ohVti7,https://open.spotify.com/playlist/1SE3mE9wwSgxyvI6ohVti7,Olivia Turner,https://open.spotify.com/user/vcmliwuq4lwncsub7pvb2d97r,https://api.spotify.com/v1/users/vcmliwuq4lwncsub7pvb2d97r,vcmliwuq4lwncsub7pvb2d97r,user,spotify:user:vcmliwuq4lwncsub7pvb2d97r,https://api.spotify.com/v1/playlists/1SE3mE9wwSgxyvI6ohVti7/tracks,45
3,False,"Best music playlist to play on a date night at home, in the car or elsewhere. ",https://api.spotify.com/v1/playlists/35MLeuJ0LgJUTCMWt6kb6V,35MLeuJ0LgJUTCMWt6kb6V,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbb589dc2981686013d725c274', 'width': None}]",Date Night Songs 2021,,,MzIsNzRkZjJlMDVhMjRlYWUwZDMyYTljZDA1ZmM2OGUxZjExNDJkMjJkOQ==,playlist,spotify:playlist:35MLeuJ0LgJUTCMWt6kb6V,https://open.spotify.com/playlist/35MLeuJ0LgJUTCMWt6kb6V,Low Fidelity,https://open.spotify.com/user/o4f46iebim373y28tdz6kdam5,https://api.spotify.com/v1/users/o4f46iebim373y28tdz6kdam5,o4f46iebim373y28tdz6kdam5,user,spotify:user:o4f46iebim373y28tdz6kdam5,https://api.spotify.com/v1/playlists/35MLeuJ0LgJUTCMWt6kb6V/tracks,102
4,False,Set the tone for your dinner with cozy jazz.,https://api.spotify.com/v1/playlists/37i9dQZF1DX6ZiG5Dz8cUM,37i9dQZF1DX6ZiG5Dz8cUM,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f00000003193b0c9a9d895a0c7ff38d95', 'width': None}]",Date Night Jazz,,,MTYzNDEzODgyMSwwMDAwMDA1NzAwMDAwMTdjN2E0MzkyMmEwMDAwMDE3MjRjMzdlZjEw,playlist,spotify:playlist:37i9dQZF1DX6ZiG5Dz8cUM,https://open.spotify.com/playlist/37i9dQZF1DX6ZiG5Dz8cUM,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX6ZiG5Dz8cUM/tracks,74
5,False,,https://api.spotify.com/v1/playlists/1vTGn4slMINe6PYJociwv3,1vTGn4slMINe6PYJociwv3,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2735ef878a782c987d38d82b605ab67616d0000b273a6f439c8957170652f9410e2ab67616d0000b273b19d1cc6a00ae1d4ddcbfd37ab67616d0000b273f7f5503cfc6a54d31e65b112', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2735ef878a782c987d38d82b605ab67616d0000b273a6f439c8957170652f9410e2ab67616d0000b273b19d1cc6a00ae1d4ddcbfd37ab67616d0000b273f7f5503cfc6a54d31e65b112', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2735ef878a782c987d38d82b605ab67616d0000b273a6f439c8957170652f9410e2ab67616d0000b273b19d1cc6a00ae1d4ddcbfd37ab67616d0000b273f7f5503cfc6a54d31e65b112', 'width': 60}]",Date night getting ready,,,NTAsNWI2MmE2NGI4OWM2YjY0Yjk3ZjM5MWUzNGRiZTk5ZTU3NmRkMzg5Nw==,playlist,spotify:playlist:1vTGn4slMINe6PYJociwv3,https://open.spotify.com/playlist/1vTGn4slMINe6PYJociwv3,Niamh Sarah,https://open.spotify.com/user/1129741516,https://api.spotify.com/v1/users/1129741516,1129741516,user,spotify:user:1129741516,https://api.spotify.com/v1/playlists/1vTGn4slMINe6PYJociwv3/tracks,49
6,False,,https://api.spotify.com/v1/playlists/1MmXcTuWbvBApvUMIgxDhV,1MmXcTuWbvBApvUMIgxDhV,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb28dc7b8ce6293a9a6d787937', 'width': None}]",Date Night At Home,,,MjUyLGJlNTUyMTJkOThmZmZjODc1Zjk0MTc1ZTI3YzBmM2QyYzBhMjFlMWQ=,playlist,spotify:playlist:1MmXcTuWbvBApvUMIgxDhV,https://open.spotify.com/playlist/1MmXcTuWbvBApvUMIgxDhV,Dave Barnes,https://open.spotify.com/user/thedavebarnes,https://api.spotify.com/v1/users/thedavebarnes,thedavebarnes,user,spotify:user:thedavebarnes,https://api.spotify.com/v1/playlists/1MmXcTuWbvBApvUMIgxDhV/tracks,78
7,False,,https://api.spotify.com/v1/playlists/0HtFVZgKOjmOCKcFde3Bp0,0HtFVZgKOjmOCKcFde3Bp0,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbc5bd70debe84cdf49ae2768f', 'width': None}]",Applebees on a date night,,,MTI0LDJjOWZjOGVkYTVmMDY4OWZjYmFmOTE1ODI2YjNkZWE5MTJiZDI0ZDA=,playlist,spotify:playlist:0HtFVZgKOjmOCKcFde3Bp0,https://open.spotify.com/playlist/0HtFVZgKOjmOCKcFde3Bp0,Heather,https://open.spotify.com/user/7g9s6t8c76sddydv0vqmgx9wo,https://api.spotify.com/v1/users/7g9s6t8c76sddydv0vqmgx9wo,7g9s6t8c76sddydv0vqmgx9wo,user,spotify:user:7g9s6t8c76sddydv0vqmgx9wo,https://api.spotify.com/v1/playlists/0HtFVZgKOjmOCKcFde3Bp0/tracks,79
8,False,"You got this Shirley, you&#x27;re amazing and gorgeous and he already likes you! Don&#x27;t be nervous",https://api.spotify.com/v1/playlists/2XghaumK7yU5RFdTwcZXo0,2XghaumK7yU5RFdTwcZXo0,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27334928d63113e6709d38d3c86ab67616d0000b2735795e01c151ba5a8ce4bd295ab67616d0000b2735ea1a511549bc05ff20fdedfab67616d0000b273b63e6d81b3486f5801264707', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27334928d63113e6709d38d3c86ab67616d0000b2735795e01c151ba5a8ce4bd295ab67616d0000b2735ea1a511549bc05ff20fdedfab67616d0000b273b63e6d81b3486f5801264707', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27334928d63113e6709d38d3c86ab67616d0000b2735795e01c151ba5a8ce4bd295ab67616d0000b2735ea1a511549bc05ff20fdedfab67616d0000b273b63e6d81b3486f5801264707', 'width': 60}]",Date Night - Get Pumped,,,NjgsYzE3YmM5MTUyYWNiNDAxZmI3ZjFlMGY0ZjQyOTRlMzk4NTEzZDFiZg==,playlist,spotify:playlist:2XghaumK7yU5RFdTwcZXo0,https://open.spotify.com/playlist/2XghaumK7yU5RFdTwcZXo0,Alissa Jayne,https://open.spotify.com/user/1291465379,https://api.spotify.com/v1/users/1291465379,1291465379,user,spotify:user:1291465379,https://api.spotify.com/v1/playlists/2XghaumK7yU5RFdTwcZXo0/tracks,59
9,False,,https://api.spotify.com/v1/playlists/6DburwueiWz2ou8DJgTn9d,6DburwueiWz2ou8DJgTn9d,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b273540fc1d083eac5bcff8dad21ab67616d0000b273d7abfda492de2867ed58b4dbab67616d0000b273e4d79c56c88a996b4d64d099ab67616d0000b273f00a1acf866539632b187ea0', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b273540fc1d083eac5bcff8dad21ab67616d0000b273d7abfda492de2867ed58b4dbab67616d0000b273e4d79c56c88a996b4d64d099ab67616d0000b273f00a1acf866539632b187ea0', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b273540fc1d083eac5bcff8dad21ab67616d0000b273d7abfda492de2867ed58b4dbab67616d0000b273e4d79c56c88a996b4d64d099ab67616d0000b273f00a1acf866539632b187ea0', 'width': 60}]",country date night 💕✨,,,MTAwLDlmMDlmMWE5NmZjODNhZjZiMGYyNDgyNWVkY2U1MDg3MDFmYWQwNmQ=,playlist,spotify:playlist:6DburwueiWz2ou8DJgTn9d,https://open.spotify.com/playlist/6DburwueiWz2ou8DJgTn9d,woronatheresa49,https://open.spotify.com/user/woronatheresa49,https://api.spotify.com/v1/users/woronatheresa49,woronatheresa49,user,spotify:user:woronatheresa49,https://api.spotify.com/v1/playlists/6DburwueiWz2ou8DJgTn9d/tracks,99
