,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,,https://api.spotify.com/v1/playlists/2Up9s3FFN1GreW6e48Fuc9,2Up9s3FFN1GreW6e48Fuc9,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2738e3ab1cbd76d15dc64450a13ab67616d0000b273d8126126dc45e87c32ad916dab67616d0000b273ed3aaa551df13a2dfeb983b9ab67616d0000b273f0e911d0e5aadefc431bf34a', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2738e3ab1cbd76d15dc64450a13ab67616d0000b273d8126126dc45e87c32ad916dab67616d0000b273ed3aaa551df13a2dfeb983b9ab67616d0000b273f0e911d0e5aadefc431bf34a', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2738e3ab1cbd76d15dc64450a13ab67616d0000b273d8126126dc45e87c32ad916dab67616d0000b273ed3aaa551df13a2dfeb983b9ab67616d0000b273f0e911d0e5aadefc431bf34a', 'width': 60}]",Studying,,,MzAwLDgzZmZmNTQxOTkwNTIzNTIyMTgwNzdiNTlmYTk0NWJhY2FmMmNkYWI=,playlist,spotify:playlist:2Up9s3FFN1GreW6e48Fuc9,https://open.spotify.com/playlist/2Up9s3FFN1GreW6e48Fuc9,Megan Gordon,https://open.spotify.com/user/12148908406,https://api.spotify.com/v1/users/12148908406,12148908406,user,spotify:user:12148908406,https://api.spotify.com/v1/playlists/2Up9s3FFN1GreW6e48Fuc9/tracks,132
1,False,Focus-enhancing piano for your study session.,https://api.spotify.com/v1/playlists/37i9dQZF1DX8NTLI2TtZa6,37i9dQZF1DX8NTLI2TtZa6,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f0000000318e20d8d2bc7aa007d305e57', 'width': None}]",Intense Studying,,,MTYzNDA0MDE0MSwwMDAwMDBhMDAwMDAwMTdjNzQ2MWQ3YjUwMDAwMDE2ZDE1NDYxNzE3,playlist,spotify:playlist:37i9dQZF1DX8NTLI2TtZa6,https://open.spotify.com/playlist/37i9dQZF1DX8NTLI2TtZa6,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX8NTLI2TtZa6/tracks,215
2,False,Lo-fi Beats To Study To Get Good Grades.  BEATS,https://api.spotify.com/v1/playlists/4fvYLSco7b3Z6qmoxwrp8c,4fvYLSco7b3Z6qmoxwrp8c,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb0dc78af316efc91e3e7d3120', 'width': None}]",Studying All Night📚 ,,,MTkwLDkxMDViMjk3NTgxZmE5NWYyMzlkN2QxZjRiZmM2NmQ3Njg5YmRjNTQ=,playlist,spotify:playlist:4fvYLSco7b3Z6qmoxwrp8c,https://open.spotify.com/playlist/4fvYLSco7b3Z6qmoxwrp8c,christian caesar,https://open.spotify.com/user/hnhnlufuyxve9bls3d745jsq0,https://api.spotify.com/v1/users/hnhnlufuyxve9bls3d745jsq0,hnhnlufuyxve9bls3d745jsq0,user,spotify:user:hnhnlufuyxve9bls3d745jsq0,https://api.spotify.com/v1/playlists/4fvYLSco7b3Z6qmoxwrp8c/tracks,172
3,False,,https://api.spotify.com/v1/playlists/1OJLWJRiiisVYkiI4jSaUe,1OJLWJRiiisVYkiI4jSaUe,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27344bb39545f5d7176080d17aeab67616d0000b2734ca68d59a4a29c856a4a39c2ab67616d0000b27377fdcfda6535601aff081b6aab67616d0000b273a9f6c04ba168640b48aa5795', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27344bb39545f5d7176080d17aeab67616d0000b2734ca68d59a4a29c856a4a39c2ab67616d0000b27377fdcfda6535601aff081b6aab67616d0000b273a9f6c04ba168640b48aa5795', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27344bb39545f5d7176080d17aeab67616d0000b2734ca68d59a4a29c856a4a39c2ab67616d0000b27377fdcfda6535601aff081b6aab67616d0000b273a9f6c04ba168640b48aa5795', 'width': 60}]",studying/homework/focus,,,MTQwLDIyODAyZjVlNTMzNGE5YjdhYWE4OWI0OTk5ZDI4ZWY4MjljZjQ2ZjY=,playlist,spotify:playlist:1OJLWJRiiisVYkiI4jSaUe,https://open.spotify.com/playlist/1OJLWJRiiisVYkiI4jSaUe,meganbmusic22,https://open.spotify.com/user/meganbmusic22,https://api.spotify.com/v1/users/meganbmusic22,meganbmusic22,user,spotify:user:meganbmusic22,https://api.spotify.com/v1/playlists/1OJLWJRiiisVYkiI4jSaUe/tracks,100
4,False,"Classical music for studying and increased focus. Do you want to discover more classical music? Go to <a href=""spotify:user:klassieke_muziek"">Spotify</a>, <a href=""http://www.maestromusic.today"">www.maestromusic.today</a> or <a href=""http://www.facebook.com/klassiekemuziek"">Facebook</a>. #StudyTok",https://api.spotify.com/v1/playlists/6wObnEPQ63a4kei1sEcMdH,6wObnEPQ63a4kei1sEcMdH,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb3be2f39ad264274d7b0b3847', 'width': None}]",Classical Music For Studying,,,MTQxNyxhNmZkZmJmODRkZDY4MmE0ODYwNjllNDBjYTIwOWQ2MjlkZTJiMWQ5,playlist,spotify:playlist:6wObnEPQ63a4kei1sEcMdH,https://open.spotify.com/playlist/6wObnEPQ63a4kei1sEcMdH,Klassieke Muziek by Maestro Music,https://open.spotify.com/user/klassieke_muziek,https://api.spotify.com/v1/users/klassieke_muziek,klassieke_muziek,user,spotify:user:klassieke_muziek,https://api.spotify.com/v1/playlists/6wObnEPQ63a4kei1sEcMdH/tracks,214
5,False,i study to this and you will to                               | this is a threat |            ,https://api.spotify.com/v1/playlists/5jV4uGFdUQK8BRiXIF7s45,5jV4uGFdUQK8BRiXIF7s45,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb1fc08f588d104a71e052a522', 'width': None}]",Studying with Bakugou Katsuki~,,,NTMsNjE2YWY3NTQ4MmY3ODczNjQ2MGY3M2M4NjNlNDMzNjJlNTFmZDU5Zg==,playlist,spotify:playlist:5jV4uGFdUQK8BRiXIF7s45,https://open.spotify.com/playlist/5jV4uGFdUQK8BRiXIF7s45,✨ HiimiKoSaN ✨,https://open.spotify.com/user/hw6dpmtd3jslcoftvz6nm7ycr,https://api.spotify.com/v1/users/hw6dpmtd3jslcoftvz6nm7ycr,hw6dpmtd3jslcoftvz6nm7ycr,user,spotify:user:hw6dpmtd3jslcoftvz6nm7ycr,https://api.spotify.com/v1/playlists/5jV4uGFdUQK8BRiXIF7s45/tracks,36
6,False,,https://api.spotify.com/v1/playlists/0e9aGqDvRQSZkuCFgzrWeD,0e9aGqDvRQSZkuCFgzrWeD,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb6207d77a4067b944a3a8dfe8', 'width': None}]",studying,,,NTAsYjU0NDU1YTYwMjA1ZGQ4ZTBiMDA5NjAyYjE3OWI0MTIwNWVkZmU0Zg==,playlist,spotify:playlist:0e9aGqDvRQSZkuCFgzrWeD,https://open.spotify.com/playlist/0e9aGqDvRQSZkuCFgzrWeD,cassie risteska,https://open.spotify.com/user/8d7rnh9rvu5i9iag02gezwyiz,https://api.spotify.com/v1/users/8d7rnh9rvu5i9iag02gezwyiz,8d7rnh9rvu5i9iag02gezwyiz,user,spotify:user:8d7rnh9rvu5i9iag02gezwyiz,https://api.spotify.com/v1/playlists/0e9aGqDvRQSZkuCFgzrWeD/tracks,48
7,False,"Bakugou has little patience and Kirishima always loses focus, but Bakugou yells at him. This is a very nice study time!",https://api.spotify.com/v1/playlists/0ZLqpGeXUvJXKUBRPaUeck,0ZLqpGeXUvJXKUBRPaUeck,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbf6a5dbff3fbc4aacd565b6d8', 'width': None}]",Studying with Bakugou Katsuki and Kirishima Eijiro,,,MjczLDYzZDZjMzI4ZGUwMDhmODRjMjU0OTFiODQ3Y2Q3ZWEzNzA2NjY3YjY=,playlist,spotify:playlist:0ZLqpGeXUvJXKUBRPaUeck,https://open.spotify.com/playlist/0ZLqpGeXUvJXKUBRPaUeck,Sabrinaa,https://open.spotify.com/user/_sasousa_,https://api.spotify.com/v1/users/_sasousa_,_sasousa_,user,spotify:user:_sasousa_,https://api.spotify.com/v1/playlists/0ZLqpGeXUvJXKUBRPaUeck/tracks,248
8,False,Background music that will not distract you when you need to focus.  You got this!,https://api.spotify.com/v1/playlists/1X1hdijGEBs9osEL1SzDWM,1X1hdijGEBs9osEL1SzDWM,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb26efb4af5b610a83627a1049', 'width': None}]",STUDYING 📚 ,,,MTc3LDRlMmIxZjU4MWExZTNkMWU0Zjk0OTZmMGM2MDU1NTY2MmY4ZjUyZjA=,playlist,spotify:playlist:1X1hdijGEBs9osEL1SzDWM,https://open.spotify.com/playlist/1X1hdijGEBs9osEL1SzDWM,keanawoods66,https://open.spotify.com/user/keanawoods66,https://api.spotify.com/v1/users/keanawoods66,keanawoods66,user,spotify:user:keanawoods66,https://api.spotify.com/v1/playlists/1X1hdijGEBs9osEL1SzDWM/tracks,61
9,False,,https://api.spotify.com/v1/playlists/0sz3BMkJeOf6qelBe4G0dV,0sz3BMkJeOf6qelBe4G0dV,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb82e7797264f27c1a71ce6815', 'width': None}]",dark academia (studying & reading),,,MTU2LGRlZjIzYzJhYTFmNmY0MGNkZGFmNTE0NDI5ZDU2ZDRiMDNiNjBmMzQ=,playlist,spotify:playlist:0sz3BMkJeOf6qelBe4G0dV,https://open.spotify.com/playlist/0sz3BMkJeOf6qelBe4G0dV,iliaahh,https://open.spotify.com/user/heygooddayilia,https://api.spotify.com/v1/users/heygooddayilia,heygooddayilia,user,spotify:user:heygooddayilia,https://api.spotify.com/v1/playlists/0sz3BMkJeOf6qelBe4G0dV/tracks,87
