,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.736,0.449,1.0,-11.462,0.0,0.425,0.33,0.000162,0.0898,0.326,80.126,audio_features,152lZdxL1OR0ZMW6KquMif,spotify:track:152lZdxL1OR0ZMW6KquMif,https://api.spotify.com/v1/tracks/152lZdxL1OR0ZMW6KquMif,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,219080.0,4.0
1,0.679,0.634,5.0,-5.024,0.0,0.0654,0.232,0.0,0.115,0.498,102.013,audio_features,0dA2Mk56wEzDgegdC6R17g,spotify:track:0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g,210091.0,4.0
2,0.64,0.533,0.0,-6.596,1.0,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,3eR23VReFzcdmS7TYCrhCe,spotify:track:3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,220781.0,4.0
3,0.683,0.427,8.0,-6.827,1.0,0.0777,0.368,0.0,0.0604,0.426,113.634,audio_features,1sXUWdKx03aP9Gmzft58rt,spotify:track:1sXUWdKx03aP9Gmzft58rt,https://api.spotify.com/v1/tracks/1sXUWdKx03aP9Gmzft58rt,https://api.spotify.com/v1/audio-analysis/1sXUWdKx03aP9Gmzft58rt,176347.0,4.0
4,0.67,0.585,6.0,-4.861,0.0,0.0354,0.107,1.11e-06,0.131,0.447,110.03,audio_features,1mDGDb2fUmUMdqV3tb8VKQ,spotify:track:1mDGDb2fUmUMdqV3tb8VKQ,https://api.spotify.com/v1/tracks/1mDGDb2fUmUMdqV3tb8VKQ,https://api.spotify.com/v1/audio-analysis/1mDGDb2fUmUMdqV3tb8VKQ,214802.0,4.0
5,0.664,0.602,4.0,-5.369,0.0,0.0412,0.0529,0.0,0.356,0.289,134.049,audio_features,7l94dyN2hX9c6wWcZQuOGJ,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,https://api.spotify.com/v1/tracks/7l94dyN2hX9c6wWcZQuOGJ,https://api.spotify.com/v1/audio-analysis/7l94dyN2hX9c6wWcZQuOGJ,235947.0,3.0
6,0.623,0.734,9.0,-5.948,1.0,0.107,0.0162,1.75e-06,0.145,0.37,107.853,audio_features,2meEiZKWkiN28gITzFwQo5,spotify:track:2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,244453.0,4.0
7,0.646,0.644,2.0,-6.763,1.0,0.031,0.0243,0.0,0.0888,0.251,99.999,audio_features,15vzANxN8G9wWfwAJLLMCg,spotify:track:15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,221520.0,4.0
8,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,0FE9t6xYkqWXU2ahLh6D8X,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/tracks/0FE9t6xYkqWXU2ahLh6D8X,https://api.spotify.com/v1/audio-analysis/0FE9t6xYkqWXU2ahLh6D8X,233713.0,4.0
9,0.416,0.773,8.0,-3.784,1.0,0.0949,0.572,0.0,0.105,0.716,122.65,audio_features,6hdkw1wzhIRYPlYDUtCY5m,spotify:track:6hdkw1wzhIRYPlYDUtCY5m,https://api.spotify.com/v1/tracks/6hdkw1wzhIRYPlYDUtCY5m,https://api.spotify.com/v1/audio-analysis/6hdkw1wzhIRYPlYDUtCY5m,210307.0,4.0
10,0.795,0.616,1.0,-5.281,0.0,0.06,0.417,0.0,0.349,0.815,110.015,audio_features,6ukMqDxnOPOgoHdak7Kyp3,spotify:track:6ukMqDxnOPOgoHdak7Kyp3,https://api.spotify.com/v1/tracks/6ukMqDxnOPOgoHdak7Kyp3,https://api.spotify.com/v1/audio-analysis/6ukMqDxnOPOgoHdak7Kyp3,190453.0,4.0
11,0.574,0.512,5.0,-6.664,0.0,0.0503,0.234,0.0,0.0946,0.512,76.899,audio_features,4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,484147.0,4.0
12,0.499,0.676,0.0,-8.618,0.0,0.0582,0.588,0.00484,0.358,0.295,99.979,audio_features,5LYQSNHZxEA880URXFHg6h,spotify:track:5LYQSNHZxEA880URXFHg6h,https://api.spotify.com/v1/tracks/5LYQSNHZxEA880URXFHg6h,https://api.spotify.com/v1/audio-analysis/5LYQSNHZxEA880URXFHg6h,264011.0,4.0
13,0.545,0.775,5.0,-4.325,0.0,0.0349,0.00636,0.0,0.192,0.516,174.086,audio_features,2rJojRundKuKFgbvmCAYva,spotify:track:2rJojRundKuKFgbvmCAYva,https://api.spotify.com/v1/tracks/2rJojRundKuKFgbvmCAYva,https://api.spotify.com/v1/audio-analysis/2rJojRundKuKFgbvmCAYva,193827.0,4.0
14,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.472,79.983,audio_features,4JehYebiI9JE8sR8MisGVb,spotify:track:4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb,https://api.spotify.com/v1/audio-analysis/4JehYebiI9JE8sR8MisGVb,261640.0,4.0
15,0.532,0.869,11.0,-5.094,1.0,0.172,0.157,0.00508,0.136,0.422,159.803,audio_features,1i1fxkWeaMmKEB4T7zqbzK,spotify:track:1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK,https://api.spotify.com/v1/audio-analysis/1i1fxkWeaMmKEB4T7zqbzK,208373.0,4.0
16,0.509,0.637,4.0,-4.83,0.0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,audio_features,2aksifNn5ph8igDOkPBA02,spotify:track:2aksifNn5ph8igDOkPBA02,https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,https://api.spotify.com/v1/audio-analysis/2aksifNn5ph8igDOkPBA02,224000.0,3.0
17,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560.0,4.0
18,0.637,0.843,5.0,-5.413,1.0,0.0432,0.0151,0.0,0.0876,0.434,109.012,audio_features,24lMtPOCzP5g4hrg3NklLa,spotify:track:24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/tracks/24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/audio-analysis/24lMtPOCzP5g4hrg3NklLa,220733.0,4.0
