,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,,https://api.spotify.com/v1/playlists/36lqaSvXXuBxi3oYIaEI4B,36lqaSvXXuBxi3oYIaEI4B,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 60}]",Pissed off workout - Rap,,,MTg5LDk2ZDdmZTNiNWI2MGU2ODliMDdlM2EyMDNhODNhNGI4MjVlYjk5OTU=,playlist,spotify:playlist:36lqaSvXXuBxi3oYIaEI4B,https://open.spotify.com/playlist/36lqaSvXXuBxi3oYIaEI4B,Eduardo Barriga,https://open.spotify.com/user/1255914082,https://api.spotify.com/v1/users/1255914082,1255914082,user,spotify:user:1255914082,https://api.spotify.com/v1/playlists/36lqaSvXXuBxi3oYIaEI4B/tracks,144
1,False,Ig:@hannahpartoon       Let’s show these fuck boys how the real ones play the game,https://api.spotify.com/v1/playlists/0R2MV1hkGFpdPRGNRB7twn,0R2MV1hkGFpdPRGNRB7twn,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb448d8fed1edb870e16f1b944', 'width': None}]",im pissed offffff,,,MzAwLDY2NDdhZjc2YmVmZmY5YjRiYTAxYzg4ODYxYjUxYTNlYWY0ZWVkYjI=,playlist,spotify:playlist:0R2MV1hkGFpdPRGNRB7twn,https://open.spotify.com/playlist/0R2MV1hkGFpdPRGNRB7twn,Hannah Partoon,https://open.spotify.com/user/11144344108,https://api.spotify.com/v1/users/11144344108,11144344108,user,spotify:user:11144344108,https://api.spotify.com/v1/playlists/0R2MV1hkGFpdPRGNRB7twn/tracks,153
2,False,Pissed Me Off Lil Durk Dropping Tomorrow! . DM: @aaleexxgarciiia. Image Credit: Lil Durk,https://api.spotify.com/v1/playlists/1zyUtFvuJQCDuJlX8Q8KWf,1zyUtFvuJQCDuJlX8Q8KWf,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb0e17e0826945aa7fde0699db', 'width': None}]",Pissed Me Off - Lil Durk,,,NTk5LDcyNDQzZGQ1OTUyMGRjMGUyZWViYmEwMTA3MTI4OGRjMjMzZGM4ZjY=,playlist,spotify:playlist:1zyUtFvuJQCDuJlX8Q8KWf,https://open.spotify.com/playlist/1zyUtFvuJQCDuJlX8Q8KWf,@aaleexxgarciia,https://open.spotify.com/user/agasi2021,https://api.spotify.com/v1/users/agasi2021,agasi2021,user,spotify:user:agasi2021,https://api.spotify.com/v1/playlists/1zyUtFvuJQCDuJlX8Q8KWf/tracks,51
3,False,,https://api.spotify.com/v1/playlists/4zV5FlvlUdxMeBNqOickCr,4zV5FlvlUdxMeBNqOickCr,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27301a6faf91e207748e8e32e0aab67616d0000b2734db62465d930f949ecd18c38ab67616d0000b2736ca5c90113b30c3c43ffb8f4ab67616d0000b273d9194aa18fa4c9362b47464f', 'width': 60}]",Pissed off workout rap,,,NTYsZGMyYjA3NzFjMmI2YjVkYzljOGExYjVkMDRhZTVmZWY3Njk0MDE2OA==,playlist,spotify:playlist:4zV5FlvlUdxMeBNqOickCr,https://open.spotify.com/playlist/4zV5FlvlUdxMeBNqOickCr,adkinsbradey,https://open.spotify.com/user/adkinsbradey,https://api.spotify.com/v1/users/adkinsbradey,adkinsbradey,user,spotify:user:adkinsbradey,https://api.spotify.com/v1/playlists/4zV5FlvlUdxMeBNqOickCr/tracks,55
4,False,,https://api.spotify.com/v1/playlists/3YWA5n0ECpdWe7NCpLzhT3,3YWA5n0ECpdWe7NCpLzhT3,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b273317f63dd5214d9a5d2cb7c71ab67616d0000b27332c5d1e207364562fe2160b7ab67616d0000b2738b72d834eb50dd04a83b349fab67616d0000b2738bd6e34012a7ab6311050d0c', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b273317f63dd5214d9a5d2cb7c71ab67616d0000b27332c5d1e207364562fe2160b7ab67616d0000b2738b72d834eb50dd04a83b349fab67616d0000b2738bd6e34012a7ab6311050d0c', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b273317f63dd5214d9a5d2cb7c71ab67616d0000b27332c5d1e207364562fe2160b7ab67616d0000b2738b72d834eb50dd04a83b349fab67616d0000b2738bd6e34012a7ab6311050d0c', 'width': 60}]",Pissed Off Rap🤬,,,ODAsNTk4YjdmOTllNjM1NWRiYjY1ZmM5N2Q4ZmVkNWEyOTA3YzQ1MmE2MA==,playlist,spotify:playlist:3YWA5n0ECpdWe7NCpLzhT3,https://open.spotify.com/playlist/3YWA5n0ECpdWe7NCpLzhT3,Nameer,https://open.spotify.com/user/hymz82i8hx8v5rj4a6n52zag8,https://api.spotify.com/v1/users/hymz82i8hx8v5rj4a6n52zag8,hymz82i8hx8v5rj4a6n52zag8,user,spotify:user:hymz82i8hx8v5rj4a6n52zag8,https://api.spotify.com/v1/playlists/3YWA5n0ECpdWe7NCpLzhT3/tracks,30
5,False,kinda wanna scream into the void till my voice is gone but its whatever,https://api.spotify.com/v1/playlists/0mcMXV0lJixSKUmC469bUs,0mcMXV0lJixSKUmC469bUs,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebbf53e4e4013dc3f2afabe0d94', 'width': None}]",im angry im fucking pissed off bye,,,ODMsZjU3ODFkMjU1ZWU4YmZmNDE0OTU2NWZhZDc0ZmIyMzUxZGNmNDNkNQ==,playlist,spotify:playlist:0mcMXV0lJixSKUmC469bUs,https://open.spotify.com/playlist/0mcMXV0lJixSKUmC469bUs,gayist,https://open.spotify.com/user/5jqlwnny1owigunycfmab4rfm,https://api.spotify.com/v1/users/5jqlwnny1owigunycfmab4rfm,5jqlwnny1owigunycfmab4rfm,user,spotify:user:5jqlwnny1owigunycfmab4rfm,https://api.spotify.com/v1/playlists/0mcMXV0lJixSKUmC469bUs/tracks,54
6,False,,https://api.spotify.com/v1/playlists/4MAwU3SM2b3QrV8ro6YZka,4MAwU3SM2b3QrV8ro6YZka,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2736c112ab47442b526755ffe36ab67616d0000b2737a015de3b0b7d1e3bf02a926ab67616d0000b273817da73d6641ddbcc0a50363ab67616d0000b273bf33fdea7b0ff3c71b6faf75', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2736c112ab47442b526755ffe36ab67616d0000b2737a015de3b0b7d1e3bf02a926ab67616d0000b273817da73d6641ddbcc0a50363ab67616d0000b273bf33fdea7b0ff3c71b6faf75', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2736c112ab47442b526755ffe36ab67616d0000b2737a015de3b0b7d1e3bf02a926ab67616d0000b273817da73d6641ddbcc0a50363ab67616d0000b273bf33fdea7b0ff3c71b6faf75', 'width': 60}]",Pissed off mood.,,,MjQ3LDllNDUyMGM4NGQwZGZjMWZkYjk3NDMzYzJhODNiMzBiMTRkZGFkY2Q=,playlist,spotify:playlist:4MAwU3SM2b3QrV8ro6YZka,https://open.spotify.com/playlist/4MAwU3SM2b3QrV8ro6YZka,Llilomarie.rodriguez,https://open.spotify.com/user/jk8f9w6xqfahwjijfhtu6zdp1,https://api.spotify.com/v1/users/jk8f9w6xqfahwjijfhtu6zdp1,jk8f9w6xqfahwjijfhtu6zdp1,user,spotify:user:jk8f9w6xqfahwjijfhtu6zdp1,https://api.spotify.com/v1/playlists/4MAwU3SM2b3QrV8ro6YZka/tracks,214
7,False,,https://api.spotify.com/v1/playlists/245bcKhXndrHaA8ppeZnQ1,245bcKhXndrHaA8ppeZnQ1,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27310caab2a8a82b6b93ce64c30ab67616d0000b2731db105273d8af0e255e491ecab67616d0000b27350d216aebaf98e8ac9947fd5ab67616d0000b273cf6c70c4c7044fd8869fda59', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27310caab2a8a82b6b93ce64c30ab67616d0000b2731db105273d8af0e255e491ecab67616d0000b27350d216aebaf98e8ac9947fd5ab67616d0000b273cf6c70c4c7044fd8869fda59', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27310caab2a8a82b6b93ce64c30ab67616d0000b2731db105273d8af0e255e491ecab67616d0000b27350d216aebaf98e8ac9947fd5ab67616d0000b273cf6c70c4c7044fd8869fda59', 'width': 60}]",PISSED OFF! ROCK,,,MTEzLDI3NmEzZDU1ODQzZTdkY2M2NTRjZmViODQ5MDI5MzRlOGE4MDM1ZDc=,playlist,spotify:playlist:245bcKhXndrHaA8ppeZnQ1,https://open.spotify.com/playlist/245bcKhXndrHaA8ppeZnQ1,Victoria Bertel,https://open.spotify.com/user/bertel.family,https://api.spotify.com/v1/users/bertel.family,bertel.family,user,spotify:user:bertel.family,https://api.spotify.com/v1/playlists/245bcKhXndrHaA8ppeZnQ1/tracks,106
8,False,,https://api.spotify.com/v1/playlists/6xIdR6faTM6ttWoxs0FUeM,6xIdR6faTM6ttWoxs0FUeM,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb8dc418fe5f5472575604464e', 'width': None}]",Lil Durk - Pissed Me Off,,,ODAyLDY3MmE5OWY1ZDU1NTU5N2FmZmJhMmI5MzA3NzU3ZTZiYzRkYjczMDQ=,playlist,spotify:playlist:6xIdR6faTM6ttWoxs0FUeM,https://open.spotify.com/playlist/6xIdR6faTM6ttWoxs0FUeM,Alamo Records,https://open.spotify.com/user/alamorecords,https://api.spotify.com/v1/users/alamorecords,alamorecords,user,spotify:user:alamorecords,https://api.spotify.com/v1/playlists/6xIdR6faTM6ttWoxs0FUeM/tracks,33
9,False,,https://api.spotify.com/v1/playlists/2EWAQFH4XH2JkkruKIhmmp,2EWAQFH4XH2JkkruKIhmmp,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27350192d5f728fea13fb3af203ab67616d0000b2738fe5d04b06aff90f9fe796f5ab67616d0000b273cd90e898c070ef21812ab363ab67616d0000b273dbb3dd82da45b7d7f31b1b42', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27350192d5f728fea13fb3af203ab67616d0000b2738fe5d04b06aff90f9fe796f5ab67616d0000b273cd90e898c070ef21812ab363ab67616d0000b273dbb3dd82da45b7d7f31b1b42', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27350192d5f728fea13fb3af203ab67616d0000b2738fe5d04b06aff90f9fe796f5ab67616d0000b273cd90e898c070ef21812ab363ab67616d0000b273dbb3dd82da45b7d7f31b1b42', 'width': 60}]",Get Pissed Off😤🔥,,,NTUsMDczMDZkMDYxZDJmOTE5MzE4NjZlNTVjNmY2NmMwYWU1MTBiMjQzNA==,playlist,spotify:playlist:2EWAQFH4XH2JkkruKIhmmp,https://open.spotify.com/playlist/2EWAQFH4XH2JkkruKIhmmp,malvinimike30,https://open.spotify.com/user/malvinimike30,https://api.spotify.com/v1/users/malvinimike30,malvinimike30,user,spotify:user:malvinimike30,https://api.spotify.com/v1/playlists/2EWAQFH4XH2JkkruKIhmmp/tracks,54
