,collaborative,description,href,id,images,name,primary_color,public,snapshot_id,type,uri,external_urls.spotify,owner.display_name,owner.external_urls.spotify,owner.href,owner.id,owner.type,owner.uri,tracks.href,tracks.total
0,False,"If you're driving a car, flying a plane, or riding a bus - these songs about transportation are for you.",https://api.spotify.com/v1/playlists/37i9dQZF1DWUafMg94PbK3,37i9dQZF1DWUafMg94PbK3,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000031c2bccc7a5dcc62e64df71ef', 'width': None}]",Traffic Jam,,,MTYxNzM3NzQxMiwwMDAwMDAwOTAwMDAwMTc4OTMzNGM0NTYwMDAwMDE3MGE0ZjQzMDE1,playlist,spotify:playlist:37i9dQZF1DWUafMg94PbK3,https://open.spotify.com/playlist/37i9dQZF1DWUafMg94PbK3,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DWUafMg94PbK3/tracks,59
1,False,Turn traffic stops into jam sessions.,https://api.spotify.com/v1/playlists/37i9dQZF1DX4NsREGkRuCe,37i9dQZF1DX4NsREGkRuCe,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706f000000031a6672f7d6e8d1533efe714f', 'width': None}]",Traffic Jams Naija ,,,MTYzNTI1MjM0MiwwMDAwMDAwMGQ0MWQ4Y2Q5OGYwMGIyMDRlOTgwMDk5OGVjZjg0Mjdl,playlist,spotify:playlist:37i9dQZF1DX4NsREGkRuCe,https://open.spotify.com/playlist/37i9dQZF1DX4NsREGkRuCe,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/37i9dQZF1DX4NsREGkRuCe/tracks,80
2,False,Stuck in stop and go? This should help.,https://api.spotify.com/v1/playlists/0mY9BQvlpraYLzg9BfKuVa,0mY9BQvlpraYLzg9BfKuVa,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb3e87bf8c39f476dab861997f', 'width': None}]",Traffic Jams,,,MjAsMDZjNjBlNDBlODE2ODFkMWM4ZTM1ZWY5Njk4M2RjMDlkZmVkOWYwZQ==,playlist,spotify:playlist:0mY9BQvlpraYLzg9BfKuVa,https://open.spotify.com/playlist/0mY9BQvlpraYLzg9BfKuVa,Spotify,https://open.spotify.com/user/spotify,https://api.spotify.com/v1/users/spotify,spotify,user,spotify:user:spotify,https://api.spotify.com/v1/playlists/0mY9BQvlpraYLzg9BfKuVa/tracks,72
3,False,,https://api.spotify.com/v1/playlists/3ArpUv8gmRtRs7xD8mSlLg,3ArpUv8gmRtRs7xD8mSlLg,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27316c2503914f2c6feadad7934ab67616d0000b273421f72b3abfd54e580d277f8ab67616d0000b2739fa1250ee7b5839a4a7d6434ab67616d0000b273c5214ee5d4300598a8a95264', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27316c2503914f2c6feadad7934ab67616d0000b273421f72b3abfd54e580d277f8ab67616d0000b2739fa1250ee7b5839a4a7d6434ab67616d0000b273c5214ee5d4300598a8a95264', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27316c2503914f2c6feadad7934ab67616d0000b273421f72b3abfd54e580d277f8ab67616d0000b2739fa1250ee7b5839a4a7d6434ab67616d0000b273c5214ee5d4300598a8a95264', 'width': 60}]",Traffic jams 🚘,,,ODM5LDBkNmJmZDQ3NGQ5ZjE4N2Y5MTI3YzcxZjczNWRmNTdiYjQyMTAzMmQ=,playlist,spotify:playlist:3ArpUv8gmRtRs7xD8mSlLg,https://open.spotify.com/playlist/3ArpUv8gmRtRs7xD8mSlLg,Avery Bell,https://open.spotify.com/user/1287815088,https://api.spotify.com/v1/users/1287815088,1287815088,user,spotify:user:1287815088,https://api.spotify.com/v1/playlists/3ArpUv8gmRtRs7xD8mSlLg/tracks,665
4,False,,https://api.spotify.com/v1/playlists/2A7JykpwSTcJMGK9FZHbIs,2A7JykpwSTcJMGK9FZHbIs,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2733d9621bb2904dc57a60a6b36ab67616d0000b2734ff62d5125efd086e3c23dfbab67616d0000b273d5d74dc15f88ec6e02c7378dab67616d0000b273df16c877f94567573ffa4e62', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2733d9621bb2904dc57a60a6b36ab67616d0000b2734ff62d5125efd086e3c23dfbab67616d0000b273d5d74dc15f88ec6e02c7378dab67616d0000b273df16c877f94567573ffa4e62', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2733d9621bb2904dc57a60a6b36ab67616d0000b2734ff62d5125efd086e3c23dfbab67616d0000b273d5d74dc15f88ec6e02c7378dab67616d0000b273df16c877f94567573ffa4e62', 'width': 60}]",Traffic JAMS🤪🥳,,,MjI0LDhhYTUxYzlhNjIxYzhhNjE3ZDY3YWFkYzRlNzJiNjBmZDRhYjdiYjU=,playlist,spotify:playlist:2A7JykpwSTcJMGK9FZHbIs,https://open.spotify.com/playlist/2A7JykpwSTcJMGK9FZHbIs,Niamh,https://open.spotify.com/user/de2ljecbr1b2nulhv8qq3q0gp,https://api.spotify.com/v1/users/de2ljecbr1b2nulhv8qq3q0gp,de2ljecbr1b2nulhv8qq3q0gp,user,spotify:user:de2ljecbr1b2nulhv8qq3q0gp,https://api.spotify.com/v1/playlists/2A7JykpwSTcJMGK9FZHbIs/tracks,143
5,False,Songs when you&#x27;re stuck,https://api.spotify.com/v1/playlists/2YU7WP5475g0aPZwjgMLZx,2YU7WP5475g0aPZwjgMLZx,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b27360282020360f5048976275aaab67616d0000b2737aede4855f6d0d738012e2e5ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273aab2c3c3f1f3207137d915c9', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b27360282020360f5048976275aaab67616d0000b2737aede4855f6d0d738012e2e5ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273aab2c3c3f1f3207137d915c9', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b27360282020360f5048976275aaab67616d0000b2737aede4855f6d0d738012e2e5ab67616d0000b273988ede5e1276e758b5f9e577ab67616d0000b273aab2c3c3f1f3207137d915c9', 'width': 60}]",Traffic-Jams,,,NTcxLDU3NzE1MTU3NTI2MjdlYzI0N2ZjMWQ4ZjE5YTU4NGYzYzc5NDM5Njk=,playlist,spotify:playlist:2YU7WP5475g0aPZwjgMLZx,https://open.spotify.com/playlist/2YU7WP5475g0aPZwjgMLZx,revorex,https://open.spotify.com/user/revorex,https://api.spotify.com/v1/users/revorex,revorex,user,spotify:user:revorex,https://api.spotify.com/v1/playlists/2YU7WP5475g0aPZwjgMLZx/tracks,153
6,False,,https://api.spotify.com/v1/playlists/2ID19fYlYvyiz7waLn6qUC,2ID19fYlYvyiz7waLn6qUC,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b273b782b747ed3f0bcb07e02642ab67616d0000b273d4abef91d6409bc00351c1f6ab67616d0000b273e23ab463787cfdd0238a2c07ab67616d0000b273f72a6213fda46b5828fabbed', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b273b782b747ed3f0bcb07e02642ab67616d0000b273d4abef91d6409bc00351c1f6ab67616d0000b273e23ab463787cfdd0238a2c07ab67616d0000b273f72a6213fda46b5828fabbed', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b273b782b747ed3f0bcb07e02642ab67616d0000b273d4abef91d6409bc00351c1f6ab67616d0000b273e23ab463787cfdd0238a2c07ab67616d0000b273f72a6213fda46b5828fabbed', 'width': 60}]",Traffic Jam – NILFRUITS,,,MzgsYThmZmYzZWQ0Y2FiY2U0ZTdhY2I2NTY5NDg3YzJhMGE0MmJiNzMyOA==,playlist,spotify:playlist:2ID19fYlYvyiz7waLn6qUC,https://open.spotify.com/playlist/2ID19fYlYvyiz7waLn6qUC,kami_d3d,https://open.spotify.com/user/n6h53ph3ho3enuzxraf24gys0,https://api.spotify.com/v1/users/n6h53ph3ho3enuzxraf24gys0,n6h53ph3ho3enuzxraf24gys0,user,spotify:user:n6h53ph3ho3enuzxraf24gys0,https://api.spotify.com/v1/playlists/2ID19fYlYvyiz7waLn6qUC/tracks,31
7,False,to sing in the car,https://api.spotify.com/v1/playlists/0JJ0havv93WjsPsxXtIdeG,0JJ0havv93WjsPsxXtIdeG,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb91d9f1666808d6c33a74c0bd', 'width': None}]",traffic jam(s),,,MTk5LDFmMWZiYjhhNDI4MzEyZTlmMzE2NjA4Y2JkOTJhY2Q0NDc0YzIzYWI=,playlist,spotify:playlist:0JJ0havv93WjsPsxXtIdeG,https://open.spotify.com/playlist/0JJ0havv93WjsPsxXtIdeG,Jack Connolly,https://open.spotify.com/user/12141697393,https://api.spotify.com/v1/users/12141697393,12141697393,user,spotify:user:12141697393,https://api.spotify.com/v1/playlists/0JJ0havv93WjsPsxXtIdeG/tracks,172
8,False,,https://api.spotify.com/v1/playlists/0ho78Ialg2qych2RyWRpwF,0ho78Ialg2qych2RyWRpwF,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d0000b2733a376bd9b9b1f4b2686807dbab67616d0000b273675fc8cf82a0c1024862a9dcab67616d0000b273748388a726648841ed81027eab67616d0000b273ae8b07ecdcf7aadefe00264f', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d0000b2733a376bd9b9b1f4b2686807dbab67616d0000b273675fc8cf82a0c1024862a9dcab67616d0000b273748388a726648841ed81027eab67616d0000b273ae8b07ecdcf7aadefe00264f', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d0000b2733a376bd9b9b1f4b2686807dbab67616d0000b273675fc8cf82a0c1024862a9dcab67616d0000b273748388a726648841ed81027eab67616d0000b273ae8b07ecdcf7aadefe00264f', 'width': 60}]",Traffic Jams ⚠️🚘🚥,,,Mjg4LGVlYWIyZjYwODg2NzljOWMyN2MyYTY3NTc2MWZiYzMxYjczMGJiMDY=,playlist,spotify:playlist:0ho78Ialg2qych2RyWRpwF,https://open.spotify.com/playlist/0ho78Ialg2qych2RyWRpwF,Shelbbie Stevens,https://open.spotify.com/user/shelbbie04,https://api.spotify.com/v1/users/shelbbie04,shelbbie04,user,spotify:user:shelbbie04,https://api.spotify.com/v1/playlists/0ho78Ialg2qych2RyWRpwF/tracks,281
9,False,"for the love of god, you cannot turn left on a red.",https://api.spotify.com/v1/playlists/1q8d84My21IxOxkVmrtprZ,1q8d84My21IxOxkVmrtprZ,"[{'height': None, 'url': 'https://i.scdn.co/image/ab67706c0000bebb4e6260cf0bb0c556880a8db9', 'width': None}]",Traffic Jams,,,MTY0OSw1ZmE4MzhlYjgwNjIwYjExMjllNDU3YzJkMzhlZDRjMWVkNzhiNDc3,playlist,spotify:playlist:1q8d84My21IxOxkVmrtprZ,https://open.spotify.com/playlist/1q8d84My21IxOxkVmrtprZ,Akanksha,https://open.spotify.com/user/swabha,https://api.spotify.com/v1/users/swabha,swabha,user,spotify:user:swabha,https://api.spotify.com/v1/playlists/1q8d84My21IxOxkVmrtprZ/tracks,291
